Vehicle ID,Owner ID,Make,Model,Year,Vehicle Type,License Status,Last Renewal Date,Expiration Date,Fine Amount,Agent Service Used,Online Platform Used,Compliance History,Geographic Location,Region,Income Level,Number of Vehicles Owned,Previous Violations,Agent Hours Used,User Feedback Score,Predictive Score,Preferred Payment Mode,Date of Data Collection,Days Since Last Renewal,Number of Late Renewals in Last 3 Years,Average Renewal Lag Days,Agent Synchronization Lag,Month,Quarter,vehicle_age_years,late_renewal_rate,renewal_frequency,payment_digital_score,region_risk_score,agent_efficiency,is_licensed
VH-4DA571F2,OWN-069C258C,Mazda,BT-50,2023,Truck,Non-compliant,2022-05-10,2022-05-24,0.0,In-person,,Occasional Late,"Masvingo, Mashonaland Central",Urban,Low,2,0,4.29,2.7,0.449,Agent,2023-12-19,588,0,0.0,18.21,12,4,0,0.0,1.0,0.4,0.3,0.2406171809841534,False
VH-67F666CB,OWN-5CADE77C,Mitsubishi,Triton,2010,Truck,Compliant,2024-06-10,2025-06-10,0.0,In-person,,Always Compliant,"Gweru, Mashonaland Central",,Low,5,0,5.97,4.3,0.619,Agent,2024-10-17,129,4,5.77,1.67,10,4,14,1.3333333333333333,0.8076025341780594,0.4,0.5,0.9303586321934946,True
VH-759988E8,OWN-D2CFE60C,Mercedes-Benz,C-Class,2002,Motorcycle,Compliant,2022-12-23,2023-12-23,0.0,Online,Innbucks,Always Compliant,"Masvingo, Bulawayo",,Low,2,1,0.0,1.7,0.379,Bank Transfer,2024-01-30,403,1,20.54,0.0,1,1,22,0.3333333333333333,0.31510503501167053,0.6,0.5,1.0,True
VH-84918B77,OWN-A2901364,Ford,Everest,2001,Motorcycle,Compliant,2023-04-23,2024-04-22,0.0,Online,OneMoney,Always Compliant,"Marondera, Masvingo",,Middle,1,2,0.0,2.1,0.585,Bank Transfer,2024-04-09,352,3,10.86,0.0,4,2,23,1.0,0.6378792930976993,0.6,0.5,1.0,True
VH-1084E9B6,OWN-09D0B023,Honda,Fit,2002,Motorcycle,Compliant,2022-09-09,2023-09-09,0.0,Agent,,Always Compliant,"Bulawayo, Bulawayo",Urban,Low,2,0,4.47,4.0,0.769,Agent,2023-12-15,462,0,0.0,7.04,12,4,21,0.0,1.0,0.4,0.3,0.7064220183486238,True
VH-0781BBC9,OWN-9C740FB5,Mitsubishi,Triton,2000,Minivan,Non-compliant,2024-01-23,2024-11-08,0.0,In-person,,Occasional Late,"Shurugwi, Mashonaland East",Rural,Middle,2,1,3.3,1.0,0.324,Online,2024-06-09,138,0,0.0,22.3,6,2,24,0.0,1.0,1.0,0.7,0.07005838198498748,False
VH-2146F3A9,OWN-848E24F8,BMW,5 Series,2001,Suv,Non-compliant,2024-02-04,2025-01-31,,In-person,,Frequently Non-compliant,"Ruwa, Bulawayo",Urban,Very High,4,3,2.49,3.8,0.713,Cash,2025-09-01,575,5,19.5,10.51,9,3,24,1.6666666666666667,0.34978326108702895,0.0,0.3,0.5617180984153461,False
VH-9F9A60A8,OWN-5CAF65DD,JAC,S2,2003,Suv,Compliant,2023-08-01,2024-07-31,0.0,In-person,,Always Compliant,"Masvingo, Bulawayo",,Low,3,1,,,0.669,Mobile Money,2024-04-22,265,4,3.97,22.45,4,2,21,1.3333333333333333,0.867622540846949,0.8,0.5,0.06380316930775654,True
VH-D40E247F,OWN-C4C7AC91,Haval,Jolion,2015,Suv,Compliant,2022-09-22,2023-09-22,0.0,In-person,,Occasional Late,"Victoria Falls, Masvingo",Urban,Low,1,2,5.55,1.4,0.192,Bank Transfer,2024-01-06,471,3,4.21,4.4,1,1,9,1.0,0.859619873291097,0.6,0.3,0.8165137614678899,True
VH-129145C9,OWN-557A6773,Chevrolet,Spark,2002,Pickup,Compliant,2024-03-22,2025-03-22,4846.53,In-person,,Always Compliant,"Redcliff, Bulawayo",Urban,Very High,1,2,3.55,,0.379,Cash,2024-05-06,45,2,27.8,18.84,5,2,22,0.6666666666666666,0.07302434144714898,0.0,0.3,0.21434528773978312,True
VH-CAC4D40D,OWN-8FCF5527,BMW,X5,2022,Minivan,Compliant,2025-01-03,2026-01-03,,In-person,,Occasional Late,"Redcliff, Matabeleland North",Urban,Very High,2,1,0.88,,0.961,Online,2025-04-02,89,1,2.06,1.63,4,2,3,0.3333333333333333,0.9313104368122708,1.0,0.3,0.9320266889074229,True
VH-CF9B44E9,OWN-0E025A1D,Mercedes-Benz,E-Class,2003,Hatchback,Compliant,2024-05-17,2025-05-17,0.0,Agent,,Always Compliant,"Masvingo, Midlands",Rural,High,1,0,2.03,2.2,0.316,Online,2025-08-19,459,0,0.0,11.0,8,3,22,0.0,1.0,1.0,0.7,0.5412844036697249,True
VH-1406DEA1,OWN-F8D197C6,Haval,H6,2002,Hatchback,Compliant,2024-08-10,2025-08-10,0.0,Online,Innbucks,Frequently Non-compliant,"Kadoma, Matabeleland South",,Nan,2,0,0.0,1.0,0.817,Agent,2024-11-18,100,5,3.11,0.0,11,4,22,1.6666666666666667,0.8962987662554185,0.4,0.5,1.0,True
VH-F7C36DB0,OWN-42EC77E1,Honda,Accord,2003,Sedan,Compliant,2023-06-30,2024-06-29,0.0,Agent,,Occasional Late,"Shurugwi, Matabeleland South",Urban,Nan,4,1,4.29,,0.424,Agent,2024-03-01,245,0,0.0,0.09,3,1,21,0.0,1.0,0.4,0.3,0.9962468723936614,True
VH-574BF471,OWN-8707AC3C,Honda,Accord,2005,Minivan,Compliant,2025-06-10,2026-06-10,422.46,Online,Zinara Portal,Always Compliant,"Beitbridge, Matabeleland South",Rural,High,2,3,0.0,,0.308,Online,2025-11-01,144,2,6.3,0.0,11,4,20,0.6666666666666666,0.7899299766588863,1.0,0.7,1.0,True
VH-AB8D15AB,OWN-ED2B9708,Mercedes-Benz,Sprinter,2011,Motorcycle,Non-compliant,2024-08-29,2024-10-28,0.0,Agent,,Occasional Late,"Redcliff, Masvingo",Rural,Nan,3,1,6.37,2.1,0.787,Online,2025-03-13,196,3,26.17,20.61,3,1,14,1.0,0.1273757919306434,1.0,0.7,0.14053377814845713,False
VH-DCA66492,OWN-1FA7A56D,Mercedes-Benz,Actros,2014,Truck,Compliant,2024-02-14,2025-02-13,1674.9,Agent,,Occasional Late,"Norton, Mashonaland Central",Urban,Very High,2,4,31.3,1.1,0.877,Agent,2025-04-27,438,1,17.42,23.61,4,2,11,0.3333333333333333,0.4191397132377458,0.4,0.3,0.01542952460383662,True
VH-971F2C63,OWN-67371034,Ford,Ranger,2019,Pickup,Compliant,2024-01-09,2025-01-08,0.0,Online,OneMoney,Occasional Late,"Chegutu, Mashonaland West",,Low,2,0,0.0,4.8,0.737,Mobile Money,2024-06-05,148,2,12.94,0.0,6,2,5,0.6666666666666666,0.5685228409469822,0.8,0.5,1.0,True
VH-781EA52C,OWN-2C12448F,Audi,Q5,2021,Motorcycle,Compliant,2023-09-20,2024-09-19,0.0,Agent,,Frequently Non-compliant,"Mutare, Mashonaland East",Rural,Nan,2,0,5.49,,0.548,Online,2024-09-18,364,2,8.61,10.32,9,3,3,0.6666666666666666,0.7129043014338112,1.0,0.7,0.5696413678065054,True
VH-C23727BA,OWN-02FCD941,Haval,Jolion,2020,Truck,Compliant,2023-01-08,2024-01-08,3978.99,Online,Zinara Portal,Occasional Late,"Beitbridge, Matabeleland North",,High,2,1,,4.3,0.751,Agent,2024-06-05,514,1,24.2,0.0,6,2,4,0.3333333333333333,0.19306435478492834,0.4,0.5,1.0,True
