Vehicle ID,Owner ID,Make,Model,Year,Vehicle Type,License Status,Last Renewal Date,Expiration Date,Fine Amount,Agent Service Used,Online Platform Used,Compliance History,Geographic Location,Region,Income Level,Number of Vehicles Owned,Previous Violations,Agent Hours Used,User Feedback Score,Predictive Score,Preferred Payment Mode,Date of Data Collection,Days Since Last Renewal,Number of Late Renewals in Last 3 Years,Average Renewal Lag Days,Agent Synchronization Lag,Month,Quarter
VH-999A446B,OWN-0522E56B,Mazda,BT-50,2023,Truck,Non-compliant,2022-05-09,2022-05-23,0.0,In-person,,Occasional Late,"Masvingo, Mashonaland Central",Urban,Low,2,0,4.29,2.7,0.449,Agent,2023-12-18,588,0,0.0,18.21,12,4
VH-6FCE7214,OWN-1CEB5D8C,Mitsubishi,Triton,2010,Truck,Compliant,2024-06-09,2025-06-09,0.0,In-person,,Always Compliant,"Gweru, Mashonaland Central",Peri-urban,Low,5,0,5.97,4.3,0.619,Agent,2024-10-16,129,4,5.77,1.67,10,4
VH-4428C2A1,OWN-FBD1EE4E,Mercedes-Benz,C-Class,2002,Motorcycle,Compliant,2022-12-22,2023-12-22,0.0,Online,Innbucks,Always Compliant,"Masvingo, Bulawayo",Peri-urban,Low,2,1,0.0,1.7,0.379,Bank Transfer,2024-01-29,403,1,20.54,0.0,1,1
VH-09A5322F,OWN-0BBD73CE,Ford,Everest,2001,Motorcycle,Compliant,2023-04-22,2024-04-21,0.0,Online,OneMoney,Always Compliant,"Marondera, Masvingo",Peri-urban,Middle,1,2,0.0,2.1,0.585,Bank Transfer,2024-04-08,352,3,10.86,0.0,4,2
VH-13F42DC9,OWN-8C18B594,Honda,Fit,2002,Motorcycle,Compliant,2022-09-08,2023-09-08,0.0,Agent,,Always Compliant,"Bulawayo, Bulawayo",Urban,Low,2,0,4.47,4.0,0.769,Agent,2023-12-14,462,0,0.0,7.04,12,4
VH-45737E4D,OWN-122F927E,Mitsubishi,Triton,2000,Minivan,Non-compliant,2024-01-22,2024-11-07,0.0,In-person,,Occasional Late,"Shurugwi, Mashonaland East",Rural,Middle,2,1,3.3,1.0,0.324,Online,2024-06-08,138,0,0.0,22.3,6,2
VH-BFC7E1B5,OWN-56CBE58F,BMW,5 Series,2001,SUV,Non-compliant,2024-02-03,2025-01-30,,In-person,,Frequently Non-compliant,"Ruwa, Bulawayo",Urban,Very High,4,3,2.49,3.8,0.713,Cash,2025-08-31,575,5,19.5,10.51,8,3
VH-E9A426FC,OWN-9426B938,JAC,S2,2003,SUV,Compliant,2023-07-31,2024-07-30,0.0,In-person,,Always Compliant,"Masvingo, Bulawayo",Peri-urban,Low,3,1,,,0.669,Mobile Money,2024-04-21,265,4,3.97,22.45,4,2
VH-F4081F42,OWN-69AA90F4,Haval,Jolion,2015,SUV,Compliant,2022-09-21,2023-09-21,0.0,In-person,,Occasional Late,"Victoria Falls, Masvingo",Urban,Low,1,2,5.55,1.4,0.192,Bank Transfer,2024-01-05,471,3,4.21,4.4,1,1
VH-4241B5DC,OWN-9F2C94A3,Chevrolet,Spark,2002,Pickup,Compliant,2024-03-21,2025-03-21,4846.53,In-person,,Always Compliant,"Redcliff, Bulawayo",Urban,Very High,1,2,3.55,,0.379,Cash,2024-05-05,45,2,27.8,18.84,5,2
VH-CE47F0BC,OWN-B889C840,BMW,X5,2022,Minivan,Compliant,2025-01-02,2026-01-02,,In-person,,Occasional Late,"Redcliff, Matabeleland North",Urban,Very High,2,1,0.88,,0.961,Online,2025-04-01,890,1,2.06,1.63,4,2
VH-0B7FF3EE,OWN-6E045683,Mercedes-Benz,E-Class,2003,Hatchback,Compliant,2024-05-16,2025-05-16,0.0,Agent,,Always Compliant,"Masvingo, Midlands",Rural,High,1,0,2.03,2.2,0.316,Online,2025-08-18,459,0,0.0,11.0,8,3
VH-382AD650,OWN-AD029FCC,Haval,H6,2002,Hatchback,Compliant,2024-08-09,2025-08-09,0.0,Online,Innbucks,Frequently Non-compliant,"Kadoma, Matabeleland South",Peri-urban,,2,0,0.0,1.0,0.817,Agent,2024-11-17,100,5,3.11,0.0,11,4
VH-D3A9F0DC,OWN-0C59ECC4,Honda,Accord,2003,Sedan,Compliant,2023-06-29,2024-06-28,0.0,Agent,,Occasional Late,"Shurugwi, Matabeleland South",Urban,,4,1,4.29,,0.424,Agent,2024-02-29,245,0,0.0,0.09,2,1
VH-72392FB7,OWN-7815B9E5,Honda,Accord,2005,Minivan,Compliant,2025-06-09,2026-06-09,422.46,Online,Zinara Portal,Always Compliant,"Beitbridge, Matabeleland South",Rural,High,2,3,0.0,,0.308,Online,2025-10-31,144,2,6.3,0.0,10,4
VH-C607F3FB,OWN-3C1CB1BA,Mercedes-Benz,Sprinter,2011,Motorcycle,Non-compliant,2024-08-28,2024-10-27,0.0,Agent,,Occasional Late,"Redcliff, Masvingo",Rural,,3,1,6.37,2.1,0.787,Online,2025-03-12,196,3,26.17,20.61,3,1
VH-E118ED47,OWN-C15D9C97,Mercedes-Benz,Actros,2014,Truck,Compliant,2024-02-13,2025-02-12,1674.9,Agent,,Occasional Late,"Norton, Mashonaland Central",Urban,Very High,2,4,31.299999999999997,1.1,0.877,Agent,2025-04-26,438,1,17.42,23.61,4,2
VH-75EC6658,OWN-7A38D132,Ford,Ranger,2019,Pickup,Compliant,2024-01-08,2025-01-07,0.0,Online,OneMoney,Occasional Late,"Chegutu, Mashonaland West",Peri-urban,Low,2,0,0.0,4.8,0.737,Mobile Money,2024-06-04,148,2,12.94,0.0,6,2
VH-072CCA91,OWN-9D24DEF3,Audi,Q5,2021,Motorcycle,Compliant,2023-09-19,2024-09-18,0.0,Agent,,Frequently Non-compliant,"Mutare, Mashonaland East",Rural,,2,0,5.49,,0.548,Online,2024-09-17,364,2,8.61,10.32,9,3
VH-D809F324,OWN-33FF7049,Haval,Jolion,2020,Truck,Compliant,2023-01-07,2024-01-07,3978.99,Online,Zinara Portal,Occasional Late,"Beitbridge, Matabeleland North",Peri-urban,High,2,1,,4.3,0.751,Agent,2024-06-04,514,1,24.2,0.0,6,2
VH-A994D23B,OWN-D02EBB50,Honda,CR-V,2001,SUV,Compliant,2022-05-26,2023-05-26,0.0,In-person,,Occasional Late,"Victoria Falls, Midlands",Urban,Low,3,0,1.61,4.1,0.219,Bank Transfer,2024-02-04,619,3,1.51,5.98,2,1
VH-01AA6931,OWN-CB45097D,Mazda,323,2004,Motorcycle,Compliant,2022-10-26,2023-10-26,4084.28,Online,OneMoney,Always Compliant,"Beitbridge, Matabeleland South",Rural,Middle,2,0,0.0,,0.247,Agent,2024-08-13,657,4,14.54,0.0,8,3
VH-F4FE7136,OWN-D857DC64,Mercedes-Benz,C-Class,2014,Sedan,Compliant,2023-05-14,2024-05-13,0.0,In-person,,Always Compliant,"Gwanda, Mashonaland East",Urban,Low,1,0,5.8,1.2,0.833,Cash,2024-12-17,583,4,28.38,0.47,12,4
VH-7568162C,OWN-5CC24263,Haval,H9,2015,Sedan,Non-compliant,2023-02-03,2024-01-21,0.0,Agent,,Always Compliant,"Chegutu, Mashonaland East",Peri-urban,Very High,1,2,,4.2,0.724,Cash,2024-09-06,581,1,29.42,12.82,9,3
VH-AC91CE8D,OWN-91BBB615,Hyundai,Tucson,2002,Minivan,Compliant,2023-12-26,2024-12-25,0.0,Agent,,Always Compliant,"Bindura, Manicaland",Peri-urban,Very High,1,0,,,0.539,Agent,2025-02-16,418,1,19.5,18.75,2,1
VH-3597EB01,OWN-6E298A96,Ford,Ranger,2007,SUV,Compliant,2022-07-29,2023-07-29,616.23,Agent,,Frequently Non-compliant,"Harare, Midlands",Urban,Middle,2,0,6.25,4.1,0.164,Agent,2024-07-13,715,0,0.0,13.89,7,3
VH-B4060D51,OWN-1BF175FF,BMW,X5,2012,Minivan,Compliant,2023-05-04,2024-05-03,0.0,Online,Zinara Portal,Always Compliant,"Kadoma, Bulawayo",Rural,Low,1,2,0.0,3.0,0.341,Cash,2024-02-06,278,3,3.17,0.0,2,1
VH-54E92DE1,OWN-3D0D101F,Land Rover,Range Rover,2014,Minivan,Non-compliant,2023-03-13,2023-12-23,0.0,Agent,,Always Compliant,"Gweru, Masvingo",Urban,High,1,0,6.69,2.1,0.451,Cash,2024-01-13,306,4,18.31,9.1,1,1
VH-E2CD2AFF,OWN-FEDA587D,Toyota,Yaris,2010,SUV,Non-compliant,2024-01-15,2024-10-16,0.0,In-person,,Occasional Late,"Victoria Falls, Mashonaland Central",Peri-urban,Very High,1,0,11.399999999999999,3.6,0.491,Online,2024-11-26,316,0,0.0,7.06,11,4
VH-E0D32DEA,OWN-E917F7A0,Hyundai,Santa Fe,2009,Minivan,Compliant,2023-08-15,2024-08-14,,Agent,,Occasional Late,"Ruwa, Mashonaland West",Peri-urban,High,1,0,2.53,4.0,0.951,Mobile Money,2024-11-22,465,1,6.49,11.62,11,4
VH-BAA0A682,OWN-27754652,Haval,Jolion,2019,Truck,Compliant,2024-06-05,2025-06-05,0.0,In-person,,Occasional Late,"Mutare, Mashonaland Central",Peri-urban,Middle,2,0,4.65,,0.012,Agent,2025-05-10,339,3,14.36,8.18,5,2
VH-5B969F1A,OWN-5D7AD6DE,Ford,F-150,2015,Sedan,Compliant,2023-11-12,2024-11-11,801.05,In-person,,Always Compliant,"Chitungwiza, Masvingo",Peri-urban,Low,2,3,7.95,3.5,0.776,Cash,2024-02-04,84,3,27.26,7.14,2,1
VH-433E8BFB,OWN-5CD98EF2,Haval,H9,2009,Hatchback,Expired,2024-12-01,2024/01/15,,In-person,,Always Compliant,"Kariba, Harare",Rural,Middle,1,0,4.64,2.2,0.231,Agent,2025-07-31,242,5,25.79,1.71,7,3
